Tech Fee Committee Attendance Record (09/20/2024)
Member Name,Position,Virtual/In-Person,Attendance
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
Test Member,Test Postion,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
,,In-Person,Attending
